sub roi condition position similarity
s001 reslice-L-d23ab-ROI intact 1 -0.06791
s001 reslice-L-d23ab-ROI scrambled 1 -0.00143
s001 reslice-L-d23ab-ROI random 1 -0.01621
s001 reslice-L-d32-ROI intact 1 0.04320
s001 reslice-L-d32-ROI scrambled 1 0.09369
s001 reslice-L-d32-ROI random 1 0.18335
s001 reslice-L-i6-8-ROI intact 1 0.22784
s001 reslice-L-i6-8-ROI scrambled 1 0.18321
s001 reslice-L-i6-8-ROI random 1 0.31105
s001 reslice-L-p10p-ROI intact 1 0.20297
s001 reslice-L-p10p-ROI scrambled 1 -0.02251
s001 reslice-L-p10p-ROI random 1 0.03219
s001 reslice-L-p24-ROI intact 1 0.02288
s001 reslice-L-p24-ROI scrambled 1 0.18745
s001 reslice-L-p24-ROI random 1 0.00996
s001 reslice-L-p24pr-ROI intact 1 0.04395
s001 reslice-L-p24pr-ROI scrambled 1 -0.05016
s001 reslice-L-p24pr-ROI random 1 -0.04114
s001 reslice-L-p32-ROI intact 1 0.18926
s001 reslice-L-p32-ROI scrambled 1 0.07805
s001 reslice-L-p32-ROI random 1 0.13870
s001 reslice-L-p32pr-ROI intact 1 0.06545
s001 reslice-L-p32pr-ROI scrambled 1 0.09064
s001 reslice-L-p32pr-ROI random 1 -0.11234
s001 reslice-L-p47r-ROI intact 1 0.06305
